Acousticness,Danceability,Duration (ms),Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence,target,Track Name,Artist Name(s)
0.882,0.826,204770,0.188,2.83e-06,0,0.103,-12.181,1,0.0883,130.022,4,0.205,0,party favor,Billie Eilish
0.807,0.576,189613,0.307,0.000355,11,0.0792,-12.732,0,0.0428,67.513,4,0.157,0,Six Feet Under,Billie Eilish
0.213,0.776,179015,0.379,0.00175,9,0.0969,-9.351,0,0.331,82.531,4,0.346,0,&burn (with Vince Staples),"Billie Eilish,Vince Staples"
0.853,0.696,270519,0.332,0.433,6,0.0848,-12.834,1,0.0425,150.13,4,0.0628,0,WHEN I WAS OLDER - Music Inspired By The Film ROMA,Billie Eilish
0.114,0.661,195306,0.419,1.19e-05,4,0.0848,-9.807,0,0.0404,144.98,4,0.145,0,Ocean Eyes - Blackbear Remix,"Billie Eilish,blackbear"
0.2,0.832,220800,0.368,0.0513,4,0.353,-8.627,0,0.133,100.045,4,0.2,0,Bellyache - Marian Hill Remix,"Billie Eilish,Marian Hill"
0.00626,0.879,211304,0.58,0.0433,2,0.0653,-4.797,1,0.0883,92.004,4,0.312,0,MyBoi - TroyBoi Remix,"Billie Eilish,TroyBoi"
0.629,0.594,296266,0.481,0.0126,4,0.0939,-8.525,0,0.0353,144.941,4,0.0671,0,Ocean Eyes - Astronomyy Remix,"Billie Eilish,Astronomyy"
0.0585,0.682,198684,0.955,3.18e-05,4,0.226,-5.02,0,0.0591,124.999,4,0.451,0,COPYCAT - Sofi Tukker Remix,"Billie Eilish,Sofi Tukker"
0.0344,0.425,213600,0.954,0.358,7,0.187,-2.573,1,0.0383,199.843,4,0.572,0,Ocean Eyes - GOLDHOUSE Remix,"Billie Eilish,GOLDHOUSE"
0.66,0.447,200898,0.216,0.011,11,0.139,-12.815,0,0.0508,134.868,4,0.0396,0,Six Feet Under - Jerry Folk Remix,"Billie Eilish,Jerry Folk"
0.0392,0.691,215624,0.823,0.00164,11,0.127,-5.969,0,0.0384,128.014,4,0.108,0,Six Feet Under - BLU J Remix,"Billie Eilish,BLU J"
0.0651,0.67,221718,0.863,1.7e-05,11,0.11,-4.368,0,0.0874,141.955,4,0.292,0,Six Feet Under - Aire Atlantica Remix,"Billie Eilish,Aire Atlantica"
0.118,0.698,208000,0.841,0.0817,11,0.102,-6.269,0,0.0433,150.064,4,0.42,0,Six Feet Under - Gazzo Remix,"Billie Eilish,Gazzo"
0.229,0.797,228386,0.731,0.0,9,0.224,-4.443,0,0.0479,146.93,4,0.623,1,Wanted You (feat. Lil Uzi Vert),"NAV,Lil Uzi Vert"
0.868,0.427,229425,0.123,3.12e-05,9,0.0732,-15.228,0,0.0497,129.565,5,0.0394,1,hostage,Billie Eilish
0.0135,0.794,195873,0.766,0.0,9,0.0785,-3.894,0,0.0377,127.007,4,0.55,1,The Spins,Mac Miller
0.0275,0.58,188583,0.651,0.0,6,0.102,-5.537,0,0.0459,157.888,4,0.562,1,shots in the dark (with Trippie Redd),"iann dior,Trippie Redd"
